Name,TimeDate,power,baro,windspeed1,windspeed2,winddirection,temp,power_max,power_min,power_dev,baro_max,baro_min,baro_dev,windspeed1_max,windspeed1_min,windspeed1_dev,windspeed2_max,windspeed2_min,windspeed2_dev,winddirection_max,winddirection_min,winddirection_dev,temp_max,temp_min,temp_std,grid,fault,grid_max,grid_min,grid_std,fault_max,fault_min,fault_std,windcha,tlqd,K_temp,md,v3,cp
1,2016/11/10 9:00,1071.13,981.35,9.53,9.36,204.43,2.86,1484.26,497.0,233.82,981.53,981.05,0.0,13.38,6.55,1.21,12.72,6.47,1.1,225.66,183.86,7.19,2.86,2.69,0.02,1.0,0,1,1,0.0,0,0,0,0.17,0.126967471144,276.01,1.23862989724,865.523177,0.00183362061424
1,2016/11/10 15:10,1114.24,976.77,9.53,9.35,202.27,5.04,1501.86,616.44,228.21,976.98,976.52,0.0,12.64,6.2,1.26,11.97,6.27,1.16,222.87,177.44,6.76,5.12,4.95,0.02,1.0,0,1,1,0.0,0,0,0,0.18,0.13221406086,278.19,1.22318809839,865.523177,0.00193149841712
1,2016/11/10 14:50,1137.54,976.93,9.67,9.49,206.75,4.87,1499.03,560.18,267.55,977.18,976.7,1.96,11.95,6.89,1.01,11.57,6.81,0.97,231.35,185.69,5.19,4.95,4.8,0.03,1.0,0,1,1,0.0,0,0,0,0.18,0.104446742503,278.02,1.22413652438,904.231063,0.001886014202
1,2016/11/10 9:30,1181.98,981.11,9.73,9.57,208.32,3.16,1498.09,590.98,255.72,981.33,980.82,0.0,12.84,7.14,1.21,11.99,6.89,1.16,229.71,176.22,6.73,3.16,3.09,0.02,1.0,0,1,1,0.0,0,0,0,0.16,0.124357656732,276.31,1.23698247914,921.167317,0.00190368732839
1,2016/11/10 15:00,1029.3,976.87,9.73,9.49,204.61,4.96,1495.89,676.79,166.49,977.0,976.69,0.65,12.59,7.73,0.91,11.82,7.61,0.84,221.44,182.9,5.3,5.04,4.85,0.04,1.0,0,1,1,0.0,0,0,0,0.24,0.0935251798561,278.11,1.22366521962,921.167317,0.00167582396178
1,2016/11/10 8:50,1146.63,981.29,9.75,9.55,204.76,2.78,1485.2,649.13,247.31,981.52,981.02,0.0,13.55,6.9,1.26,12.62,6.69,1.15,222.61,184.68,6.94,2.79,2.53,0.04,1.0,0,1,1,0.0,0,0,0,0.2,0.129230769231,275.93,1.23891325936,926.859375,0.00183255117912
1,2016/11/10 20:00,1131.12,976.0,9.83,9.7,216.49,3.2,1496.83,708.54,236.61,976.26,975.78,2.17,13.97,7.64,1.13,13.36,7.65,1.1,240.54,195.41,6.54,3.31,3.19,0.02,1.0,0,1,1,0.0,0,0,0,0.13,0.11495422177,276.35,1.23036168316,949.862087,0.00177624509051
1,2016/11/10 19:20,1231.8,975.9,9.84,9.73,212.74,3.3,1498.09,829.23,186.75,976.06,975.65,1.35,13.06,7.54,1.06,12.75,7.41,1.02,229.41,196.23,5.81,3.31,3.28,0.01,1.0,0,1,1,0.0,0,0,0,0.11,0.107723577236,276.45,1.22979060953,952.763904,0.00192935121136
1,2016/11/10 21:10,1228.89,975.73,9.89,9.69,207.91,2.92,1500.29,710.74,237.81,975.88,975.55,0.0,12.98,6.64,1.22,12.58,6.52,1.17,231.94,183.32,6.42,3.13,2.92,0.05,1.0,0,1,1,0.0,0,0,0,0.2,0.123356926188,276.07,1.23126884802,967.361669,0.00189347163629
1,2016/11/10 19:30,1244.04,975.85,9.97,9.84,214.31,3.29,1507.2,807.86,205.37,976.08,975.6,0.57,12.83,6.99,1.14,12.48,7.16,1.1,235.31,190.82,6.33,3.39,3.28,0.02,1.0,0,1,1,0.0,0,0,0,0.13,0.114343029087,276.44,1.22977208594,991.026973,0.00187331926259
1,2016/11/10 19:40,1257.99,975.84,10.01,9.87,215.57,3.39,1499.03,801.26,244.33,976.08,975.6,0.0,13.03,6.54,1.34,12.94,6.66,1.27,237.56,193.44,6.56,3.4,3.28,0.04,1.0,0,1,1,0.0,0,0,0,0.14,0.133866133866,276.54,1.2293147889,1003.003001,0.00187240335324
1,2016/11/10 19:50,1254.19,975.97,10.08,9.92,218.42,3.3,1496.83,769.2,208.15,976.08,975.61,2.53,12.69,6.69,1.08,12.52,6.61,1.03,233.18,195.29,5.65,3.4,3.28,0.04,1.0,0,1,1,0.0,0,0,0,0.16,0.107142857143,276.45,1.22987882076,1024.192512,0.00182728788457
1,2016/11/10 9:40,1167.45,980.97,10.1,9.85,206.64,3.32,1499.35,662.96,236.0,981.14,980.64,0.0,13.94,7.04,1.25,13.2,6.96,1.14,228.61,185.01,6.09,3.32,3.14,0.05,1.0,0,1,1,0.0,0,0,0,0.25,0.123762376238,276.47,1.2360901972,1030.301,0.00168233145846
