driver,trip,v_avg,a_avg,r_avg,v_var,a_var,r_var,v_a,v_b,v_c,v_d,a_a,a_b,a_c,r_a,r_b,r_c
41030402427,16,4,0.248363,1154.971429,25.528063,0.227516,258110.7933,0.658296,0.191928,0.149776,0,0.592825,0.217937,0.189238,0.603587,0.295067,0.101345
41030402427,17,4,0.268529,1040.157143,26.229855,0.231824,254012.4822,0.733594,0.118644,0.118209,0.029552,0.510648,0.254237,0.235115,0.704911,0.232073,0.063016
41030402427,18,7,1.158265,1126.888889,49.172164,4.40796,315215.634,0.774968,0.130215,0.082174,0.012642,0.771176,0.144121,0.084703,0.82048,0.171934,0.007585
41030402427,19,7,0.242927,1390.730769,44.389364,0.085661,350272.8446,0.425653,0.115778,0.45857,0,0.334847,0.341657,0.323496,0.425653,0.419977,0.15437
41030402427,20,9,0.14993,1414.98,40.882118,0.022244,256196.5098,0.197631,0.400873,0.254988,0.146509,0.429551,0.456359,0.11409,0.218828,0.694514,0.086658
41030402427,21,5,0.182632,1224.910714,41.429548,0.035362,244954.3737,0.556342,0.257485,0.111595,0.074578,0.410996,0.366358,0.222646,0.50245,0.383778,0.113772
41030402427,22,8,0.318412,1236.084615,61.236947,0.817994,303150.1246,0.490665,0.124222,0.118956,0.266156,0.618956,0.299665,0.081379,0.433222,0.512446,0.054332
41030402427,23,4,1.071571,982.272727,32.428451,4.066108,312284.4182,0.582329,0.13253,0.285141,0,0.289157,0.281124,0.429719,0.590361,0.409639,0
41030402427,24,9,1.381173,1023.666667,61.754115,1.469443,174337.3333,0.4,0,0.6,0,0.333333,0,0.666667,0.666667,0.333333,0
41030402427,25,4,0.147438,1120.483871,29.878779,0.034185,374363.2702,0.61724,0.205747,0.177014,0,0.511031,0.329913,0.159056,0.616213,0.279117,0.104669
41030402427,26,4,0.102755,1088.125,23.652725,0.009414,199260.629,0.589124,0.273917,0.136959,0,0.520645,0.445116,0.03424,0.590131,0.342397,0.067472
41030402427,27,14,0.768959,1792.333333,10.596708,0.301233,187489.3333,0,0.277778,0.722222,0,0,0.388889,0.611111,0,0.611111,0.388889
41030402427,28,5,0.135738,1115.09375,40.824124,0.026619,300897.4425,0.629907,0.061682,0.308411,0,0.599065,0.179439,0.221495,0.651402,0.252336,0.096262
41030402427,29,10,0.210656,1386.13,42.646963,0.128719,223084.4173,0.260856,0.311153,0.203062,0.22493,0.581068,0.325836,0.093096,0.189316,0.746329,0.064355
41030402427,30,3,0.120438,1214.538462,12.386238,0.009256,211525.1026,0.665049,0.334951,0,0,0.504854,0.495146,0,0.419903,0.495146,0.084951
41030402427,32,10,0.234344,1325.571429,63.861778,0.426921,290206.9278,0.341158,0.107981,0.180282,0.370579,0.56964,0.364006,0.066354,0.320501,0.616588,0.062911
41030402427,33,1,0.225503,649.673913,6.737229,0.272494,314276.9357,0.891975,0.073045,0.034979,0,0.781893,0.162551,0.055556,0.850823,0.149177,0
41030402427,34,8,0.625,1140.833333,44.279835,0.962577,135475.3667,0.333333,0.166667,0.5,0,0.333333,0.166667,0.5,0.5,0.5,0
41030402427,35,3,0.146401,988.416667,18.88448,0.056688,270577.3929,0.623084,0.335437,0.041479,0,0.513977,0.393147,0.092876,0.659152,0.340848,0
41030402427,36,7,0.218063,1234.15625,29.618434,0.171101,212331.0863,0.550039,0.273651,0.146599,0.029711,0.603987,0.334246,0.061767,0.540657,0.456216,0.003127
41030402427,37,6,0.187917,1210.58209,20.449241,0.112352,188932.7015,0.364111,0.543118,0.076655,0.016115,0.544425,0.360192,0.095383,0.36716,0.603659,0.029181
41030402427,38,10,0.259801,1396.153846,33.675377,0.188568,211386.5641,0.211199,0.293974,0.351187,0.14364,0.329276,0.522215,0.148509,0.211808,0.724893,0.063299
41030402427,39,7,0.256824,1273.521739,17.511387,0.278,144265.5767,0.337733,0.507965,0.154301,0,0.516614,0.431953,0.051434,0.333637,0.635867,0.030496
41030402427,40,5,0.612999,1101.666667,27.083333,0.311756,323962.75,0.797753,0.089888,0.11236,0,0.651685,0,0.348315,0.707865,0.292135,0
41030402427,41,2,0.10398,981.021739,18.775907,0.016565,118604.9106,0.760446,0.141365,0.098189,0,0.706128,0.220056,0.073816,0.736769,0.263231,0
41030402427,42,5,1.670953,1379.333333,38.415638,2.331,519857.4667,0.545455,0.051948,0.402597,0,0,0.506494,0.493506,0.545455,0.103896,0.350649
41030402427,43,6,1.049934,945.142857,39.936067,1.453489,69781.47619,0.470588,0.176471,0.352941,0,0.147059,0.205882,0.647059,0.705882,0.294118,0
41030402427,44,4,0.167245,1106.714286,31.46066,0.042616,403925.7672,0.687285,0.077892,0.234822,0,0.542955,0.271478,0.185567,0.648339,0.247423,0.104238
