REGION,DATE,WEEK,HOLIDAY,Min_T,Max_T,AVG_T,RAIN,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,4:00:00,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,AVG_ELE,TOTAL_ELE
NSW,2015/2/5,4,0,18.6,24.3,21.45,8.8,6901.82,6757.11,6535.92,6266.95,6024.49,5889.54,5802.28,5817.62,5872.49,6161.63,6411.39,6956.3,7390.93,7792.15,8092.98,8203.52,8242.03,8337.48,8378.41,8433.06,8434.28,8431.86,8474.72,8401.97,8407.99,8390.26,8394.11,8451.01,8442.48,8414.03,8451.5,8476.69,8510.2,8532.57,8532.66,8452.22,8349.26,8264.56,8222.6,8300.37,8256.83,8029.61,7767,7747.24,7542.32,7504.56,7396.64,7238.4,7710.125833,370086.04
NSW,2015/2/6,5,0,17.6,25.6,21.6,0.4,7073.6,6911.75,6675.96,6392.27,6148.36,5990.4,5952.23,5982.97,6004.42,6243.04,6547.89,7023.6,7446.87,7853.11,8139.55,8306.82,8348.24,8439.48,8507.87,8567.88,8607.11,8598.26,8617.04,8554.15,8509.84,8505.89,8508.28,8486,8440.11,8448.6,8501.71,8613.08,8690.84,8704.23,8620.31,8464.23,8394.44,8248.03,8160.7,8251.51,8222.42,8083.13,7867.97,7852.13,7725.7,7659.69,7550.1,7323.89,7807.61875,374765.7
NSW,2015/2/7,6,0,18.8,26.5,22.65,0,7167.35,7001.17,6719.1,6437.55,6175.3,6000.15,5927.57,5884.57,5887.98,5961.15,6020.86,6246.44,6333.72,6632.45,6881.84,7222.31,7455.32,7705.78,7759.55,7830.72,7820.7,7807,7777.81,7666.56,7586.82,7613.23,7609.92,7603.38,7639.77,7756.1,7877.29,8005.46,8151.96,8174.9,8293.03,8300.24,8278.85,8183.83,8051.59,8069.83,8042.3,7863.44,7759.59,7663.26,7530.96,7493.77,7230.1,7014.39,7335.77,352116.96
NSW,2015/2/8,7,0,18.9,32.1,25.5,0,6884.61,6661.82,6499.36,6266.73,6101.36,5953.73,5876.41,5853.31,5849.48,5912.56,5914.55,6007.05,6085.92,6297.47,6495.41,6843.17,7067.88,7304.81,7449.15,7645.19,7672.79,7791.33,7946.95,8125.02,8304.13,8524.14,8686.63,8887.08,9130.12,9350.11,9538.89,9741.53,9895.41,9893.66,10022.96,10062.66,9935.91,9720.59,9455.8,9476.82,9339.68,9135.71,8756.13,8497.63,8059.55,7791.44,7467.86,7211.93,7862.342292,377392.43
NSW,2015/2/9,1,0,22.7,25.9,24.3,0,7102.75,6905.18,6708.75,6392.52,6211.76,6180.87,6130.21,6151.28,6227.3,6474.09,6697.9,7279.51,7727.65,8158.64,8579.71,8791.7,8981.47,9135.96,9281.18,9394.99,9408.38,9415.56,9386.9,9422.06,9382.45,9341.34,9387.74,9385.67,9466.24,9456.95,9541.59,9594.79,9577.85,9596.05,9539.62,9339.83,9244.73,9024.21,8959.04,8911.7,8843.12,8610.49,8305.85,8219.16,7973.73,7861.92,7633.51,7474.7,8350.3875,400818.6
NSW,2015/2/10,2,0,21.5,28.2,24.85,0.8,7299.36,7113.98,6916.23,6625.64,6448.81,6276.99,6220.52,6271.01,6255.4,6505.01,6698.71,7241.33,7796.72,8268.97,8615.39,8821.71,8987.76,9164.51,9272.98,9357.03,9432.4,9445.62,9582.23,9632.41,9669.25,9762.74,9882.36,9931.7,10003.62,10055.93,10200.99,10340.67,10403.79,10334.61,10256.69,9991.86,9862.99,9519.32,9372.15,9418.09,9304.38,9095.85,8820.84,8662.32,8357.44,8145.89,7980.93,7683.59,8652.265,415308.72
NSW,2015/2/11,3,0,22.8,28.6,25.7,0,7524.92,7269.19,7036.28,6693.92,6455.66,6330.1,6242.96,6264.78,6314.92,6599.6,6866.38,7383.94,7870.55,8330.74,8687.7,8919.19,9096.96,9291.54,9440.35,9575.4,9600.81,9638.87,9711.89,9682.15,9748.45,9849.67,9917.52,10023.38,10090.53,10135.51,10301.92,10479.6,10519.23,10441.35,10422.61,10135.29,9949.26,9585.38,9456,9431.27,9294.25,9029.76,8715.48,8558.26,8231.01,7996.1,7790.81,7605.79,8719.525625,418537.23
NSW,2015/2/12,4,0,21,28.8,24.9,0,7445.5,7199.63,6951.83,6631.22,6449.79,6329.75,6271.17,6274.32,6340.42,6552.17,6790.53,7338.88,7785.93,8241.51,8586.34,8804.81,8948.53,9179.46,9304.92,9361.57,9461.02,9538.78,9627.81,9644.43,9720.02,9729.93,9876.29,9946.64,9980.21,9965.88,10103.5,10150.83,10124.46,10038.19,10016.21,9751.17,9559.85,9358.57,9223.44,9276.08,9149.95,8891.64,8548.92,8393.92,8056.78,7914.63,7723.41,7567.73,8586.011875,412128.57
NSW,2015/2/13,5,0,20.4,28.1,24.25,4.8,7376.61,7194.68,6935.31,6606.09,6306.45,6200.45,6206.57,6141.77,6233.13,6449.63,6726.13,7234.48,7760.58,8185.75,8539.6,8804.13,8912.52,9095.81,9191.6,9268.18,9353.94,9387.43,9410.47,9379.7,9401.06,9428.67,9371.87,9347.19,9324.15,9240.59,9219.73,9246.32,9280.84,9138.53,9057.47,8843.97,8705.34,8547.26,8528.66,8622.69,8530.06,8335.98,8104.12,8137.86,7919.73,7800.99,7669.5,7443.52,8253.064792,396147.11
NSW,2015/2/14,6,0,20.4,27.2,23.8,4.8,7312.45,7097.79,6848.44,6531.45,6231.69,6099.01,6039.53,6014.47,6025,6122.85,6175.7,6391.17,6530.96,6791.1,7100.48,7484.18,7745.07,8028.87,8101.88,8196.04,8178.11,8268.03,8270.29,8167.24,8110.94,8107.1,8129.39,8167.43,8263,8345.98,8420.87,8456.48,8481.55,8427.7,8405.61,8350.08,8249.76,8110.73,8120.79,8094.46,8000.28,7897.09,7736.03,7707.34,7576.97,7492.79,7296.5,7003.86,7556.344375,362704.53
